review_text,preprocessed_text
"In the realm of personal finance literature, Robert Kiyosaki's ""Rich Dad Poor Dad"" stands as a landmark publication that has challenged conventional financial wisdom and empowered millions to take control of their financial destinies. First published in 1997, the book has sold over 32 million copies worldwide and has been translated into over 51 languages, cementing its status as a global phenomenon.

At the heart of ""Rich Dad Poor Dad"" lies a simple yet powerful message: the rich don't work for money; money works for them. Kiyosaki, a self-made entrepreneur and financial educator, contrasts the teachings of his highly educated but financially struggling ""poor dad"" with those of his wealthy, entrepreneurial ""rich dad.""

Through engaging anecdotes and relatable stories, Kiyosaki highlights the importance of financial literacy, emphasizing the need to acquire assets rather than liabilities, and to understand the difference between working for money and having money work for you. He encourages readers to challenge conventional financial thinking and embrace the entrepreneurial mindset, emphasizing the power of investing and building wealth through passive income streams.

While some critics have challenged the veracity of certain aspects of Kiyosaki's personal financial journey, the book's core message remains as relevant and empowering today as it was when it was first published. ""Rich Dad Poor Dad"" has served as a wake-up call for countless individuals, inspiring them to reevaluate their relationship with money and take steps towards achieving financial freedom.

The book's impact extends beyond the realm of personal finance. It has ignited a global conversation about wealth creation, financial education, and the importance of entrepreneurial thinking. Kiyosaki's teachings have resonated with individuals from all walks of life, providing a roadmap for those seeking to break free from the shackles of financial struggle and take control of their financial futures.

""Rich Dad Poor Dad"" is not without its flaws. Some critics have pointed out inconsistencies in the book's narrative and questioned the practicality of certain financial strategies advocated by Kiyosaki. However, these criticisms do not diminish the book's overall message of financial empowerment and the importance of taking personal responsibility for one's financial well-being.

In conclusion, ""Rich Dad Poor Dad"" stands as a transformative guide to financial empowerment. Kiyosaki's unconventional approach to financial education has challenged traditional thinking and inspired millions to adopt a more proactive and entrepreneurial mindset towards wealth creation. While the book may not provide a foolproof formula for instant riches, it undoubtedly serves as a valuable resource for those seeking to break free from financial constraints and achieve financial freedom. The book's enduring popularity and global impact are a testament to its power to inspire and transform financial lives.",realm personal finance literature robert kiyosakis rich dad poor dad stand landmark publication challenged conventional financial wisdom empowered million take control financial destiny first published 1997 book sold 32 million copy worldwide translated 51 language cementing status global phenomenon heart rich dad poor dad lie simple yet powerful message rich dont work money money work kiyosaki selfmade entrepreneur financial educator contrast teaching highly educated financially struggling poor dad wealthy entrepreneurial rich dad engaging anecdote relatable story kiyosaki highlight importance financial literacy emphasizing need acquire asset rather liability understand difference working money money work encourages reader challenge conventional financial thinking embrace entrepreneurial mindset emphasizing power investing building wealth passive income stream critic challenged veracity certain aspect kiyosakis personal financial journey book core message remains relevant empowering today first published rich dad poor dad served wakeup call countless individual inspiring reevaluate relationship money take step towards achieving financial freedom book impact extends beyond realm personal finance ignited global conversation wealth creation financial education importance entrepreneurial thinking kiyosakis teaching resonated individual walk life providing roadmap seeking break free shackle financial struggle take control financial future rich dad poor dad without flaw critic pointed inconsistency book narrative questioned practicality certain financial strategy advocated kiyosaki however criticism diminish book overall message financial empowerment importance taking personal responsibility one financial wellbeing conclusion rich dad poor dad stand transformative guide financial empowerment kiyosakis unconventional approach financial education challenged traditional thinking inspired million adopt proactive entrepreneurial mindset towards wealth creation book may provide foolproof formula instant rich undoubtedly serf valuable resource seeking break free financial constraint achieve financial freedom book enduring popularity global impact testament power inspire transform financial life
Better when you find it at the earliest.,better find earliest
Nice book,nice book
Knowledgeable,knowledgeable
Must read book for knowing our current self .,must read book knowing current self
Good,good
"5 🌟
School khatam par gyan jaruri hai",5 school khatam par gyan jaruri hai
The book was delivered in good condition. Ordered paperback version.,book delivered good condition ordered paperback version
Good,good
Gud,gud
Nice book,nice book
The content of good is really good. But the quality of paper and print is bad.,content good really good quality paper print bad
It's very helpful book I'm very happy for this,helpful book im happy
Very helpful for biginers to understand about financial conditions and money balancing,helpful biginers understand financial condition money balancing
"good quality print.
book is a classic. you can read it more than a few times & it still helps.",good quality print book classic read time still help
"April of 2022 marks a 25-year milestone for the personal finance classic Rich Dad Poor Dad that still ranks as the #1 Personal Finance book of all time. And although 25 years have passed since Rich Dad Poor Dad was first published,readers will find that very little in the book itself has changed ― and for good reason. While so much in our world is changing a high speed, the lessons about money and the principles of Rich Dad Poor Dad haven’t changed. Today, as money continues to play a key role in our daily lives, the messages in Robert Kiyosaki’s international bestseller are more timely and more important than ever.

Milestones:
While there is a milestone to commemorate ― and a new section in the book on Why Milestones Are Important― preserving the integrity of the original content is testimony to the fact that this book has truly stood the test of time. The sidebars throughout the book (that were updated for the 20-year anniversary edition) have been updated again, but the core principles that parents and grandparents ― those who embraced Robert’s story and messages 25 years ago ― are sharing them with new generations who have found that its timeless wisdom and no-nonsense lessons can be applied to anyone’s life and their vision for a future that includes taking control of their finances.

People of all cultures and countries celebrate milestones. We use them to measure time, mark progress, reflect on the lessons we’ve learned, and celebrate accomplishments… and they give meaning to our life’s journey. They are a way that we integrate past, present, and future… looking back at where we started, where we are today… and the promise of all that the future can hold.

In the quarter century that has passed since Rich Dad Poor Dad was first published ― 25 years since April 8, 1997 ― so many things in our world have changed. But the one thing that has not changed is the pressing need for and the power of financial education. Money is still a mainstay of our lives,like it or not, and technology has brought both speed and innovations to the world of money. In an ever-changing world, we can all still get smarter when it comes to money… and learn as much as we can to secure our future.",april 2022 mark 25year milestone personal finance classic rich dad poor dad still rank 1 personal finance book time although 25 year passed since rich dad poor dad first publishedreaders find little book changed good reason much world changing high speed lesson money principle rich dad poor dad havent changed today money continues play key role daily life message robert kiyosakis international bestseller timely important ever milestone milestone commemorate new section book milestone important preserving integrity original content testimony fact book truly stood test time sidebar throughout book updated 20year anniversary edition updated core principle parent grandparent embraced robert story message 25 year ago sharing new generation found timeless wisdom nononsense lesson applied anyones life vision future includes taking control finance people culture country celebrate milestone use measure time mark progress reflect lesson weve learned celebrate accomplishment give meaning life journey way integrate past present future looking back started today promise future hold quarter century passed since rich dad poor dad first published 25 year since april 8 1997 many thing world changed one thing changed pressing need power financial education money still mainstay liveslike technology brought speed innovation world money everchanging world still get smarter come money learn much secure future
Memorable Book,memorable book
Goood,goood
"Book was like already used one, corners are bent and torn abit, and it can be little big in size for its price, such small book like dictionary, makes it less interesting to start reading.",book like already used one corner bent torn abit little big size price small book like dictionary make less interesting start reading
Good book,good book
Good book,good book
"Book was to small
It can easily size of my hand",book small easily size hand
Worth,worth
Just perfect...,perfect
Good book definitely,good book definitely
This is the actual size of book,actual size book
Arrived on time....,arrived time
Good book. Quick read. Delivered in good condition.,good book quick read delivered good condition
Little bit larger than pen easy to take anywhere,little bit larger pen easy take anywhere
I will share a detailed book review once I complete the book reading. The print of the book is kinda Okay.,share detailed book review complete book reading print book kinda okay
Very nice book.i think every student must read this book before doing any job or any startup.because most of the people know how to earn money but very few of all know how to manage money and this book is tell about how to manage money.,nice booki think every student must read book job startupbecause people know earn money know manage money book tell manage money
Good product,good product
"Just Loved The Book. The First Lesson By Mike's Father : Rich Dad Was Just Awesome. And The Twist of Little 9 Year Robert On Understanding The Rat Race Is Just amazing. Moreover The Book had more and most than the book explanation on YT. Atlast Packaging Good, And Arrived The Next Day. Great Book!!!",loved book first lesson mike father rich dad awesome twist little 9 year robert understanding rat race amazing moreover book book explanation yt atlast packaging good arrived next day great book
Good,good
"While reading this book, you are able to connect with reality that this is how this person is rich and this why this person is poor. We may also connect personal life too, what was correct and wrong corresponding to grow assets. In summary, you will get deep insight on asset making.",reading book able connect reality person rich person poor may also connect personal life correct wrong corresponding grow asset summary get deep insight asset making
Its really an eye opening contents about money,really eye opening content money
Nice,nice
Good content,good content
Good quality printing and good content,good quality printing good content
One of the must read books for personal finance,one must read book personal finance
"I received this book on time, as mentioned in the delivery instructions. However, the book size and paper quality could have been much better. The paper quality and letter visibility are not up to the expected standard.",received book time mentioned delivery instruction however book size paper quality could much better paper quality letter visibility expected standard
"*Rich Dad Poor Dad* by Robert Kiyosaki— Powerful insights on financial education through contrasting lessons from two father figures. It emphasizes the importance of investing, passive income, and financial independence. The book challenges traditional beliefs about money and inspires readers to rethink their financial mindset for long-term success.",rich dad poor dad robert kiyosaki powerful insight financial education contrasting lesson two father figure emphasizes importance investing passive income financial independence book challenge traditional belief money inspires reader rethink financial mindset longterm success
"The book is a real game changer. And I must say, it changes our perspective of wealth and economy.",book real game changer must say change perspective wealth economy
Good,good
"Good book, for young ones , great learning’s which are not in our syllabus",good book young one great learning syllabus
Print quality is bad,print quality bad
"2 years ago I was livin' in a rented apartment with my wife, barely breaking even. We couldn't even afford a good school for our kid. We used to eat 2 times a day and save a few pennies. I used to work 2 jobs. Then I found this book & it changed my life.
Today I'm homeless, divorced, unemployed & under $100k in debt. I live on streets eat off the dustbin near some restaurant. And my kid is adopted by someone cuz I can't take care of him.
Thank you Robert T. Kiyosaki for changing my life 🙏",2 year ago livin rented apartment wife barely breaking even couldnt even afford good school kid used eat 2 time day save penny used work 2 job found book changed life today im homeless divorced unemployed 100k debt live street eat dustbin near restaurant kid adopted someone cuz cant take care thank robert kiyosaki changing life
Nice,nice
This product is not original addition it’s duplicate addition,product original addition duplicate addition
"Talking about personal finances is often avoided despite its importance in our lives. Over the years, our have value systems have ingrained in our minds that thinking about money is equivalent to being greedy which is far from the truth. It is high time we overcome misconceptions and understand the importance of growing or at the very least (literally) maintaining the value of money we have as it is virtually impossible for anyone to work throughout their lives for money after a certain age.

For those who are willing to take steps towards understanding the importance of money and personal finance, Rich Dad Poor Dad by Robert T. Kiyosaki is one of the books, I would recommend to start with. Written in a language that can be understood without any prior knowledge of finance, the book very systematically explains the importance of ""financial Intelligence"" and getting out of the ""rat race"" by making money work for us instead of the other way round. Although the concepts are based on the author's own life experiences which predominantly includes investments in the real estate sector, they are quite universal.

Out of the many arguments put forth in the book which I mostly agree with, the most important one as per me is that 'financial education starts at home' as it shapes the mindset of an individual for lifetime. Luckily, mine started at an early age during dinner table talks with my dad.",talking personal finance often avoided despite importance life year value system ingrained mind thinking money equivalent greedy far truth high time overcome misconception understand importance growing least literally maintaining value money virtually impossible anyone work throughout life money certain age willing take step towards understanding importance money personal finance rich dad poor dad robert kiyosaki one book would recommend start written language understood without prior knowledge finance book systematically explains importance financial intelligence getting rat race making money work u instead way round although concept based author life experience predominantly includes investment real estate sector quite universal many argument put forth book mostly agree important one per financial education start home shape mindset individual lifetime luckily mine started early age dinner table talk dad
"What this book teaches is to take job in initial years to gain knowledge and not for salary. Keep expenses low and invest salary in assets (Real Estate if you are in US). Then start working for yourself. Start a business or use the money saved to work for you by means of investing in commercial real estate or stocks. Avoid purchasing home, car, with salary. Buy them later after your money is working for you. Once you’re a big businessman, then avoid paying taxes by making corporations and hiring top accountants and attorneys who will help you in this.

The book keeps you interested and you won’t feel bored.",book teach take job initial year gain knowledge salary keep expense low invest salary asset real estate u start working start business use money saved work mean investing commercial real estate stock avoid purchasing home car salary buy later money working youre big businessman avoid paying tax making corporation hiring top accountant attorney help book keep interested wont feel bored
"We have everything in this book (just a little but a lot) to know about the topic of how to become rich or how to be financially inteligent. This is a great book to light up the thought of becoming rich and stand out of middle class life which he (the author) discrbes as rat race, this is the first book which I read completely and I'm totally motivated and focused on how to live my life with more freedom in financial aspects",everything book little lot know topic become rich financially inteligent great book light thought becoming rich stand middle class life author discrbes rat race first book read completely im totally motivated focused live life freedom financial aspect
The book rich dad and the poor dad is one of the best i have read in financial training in this book the author was not giving any short cut to make money he is totally giving an execution of great plan to future wealth ✨,book rich dad poor dad one best read financial training book author giving short cut make money totally giving execution great plan future wealth
"Good quality book. Unused.
Posting a honest review from my perspective this particular book alone has to be read by everyone who needs to know how to manage their asset column. This will make your eyes open with unusual quotings which are actually meaningful and will make you think about it. You may or maynot take steps immediately after finishing this book but guys you will definitely think about starting something to grow your asset column. Go ahead and buy this book !
WARNING : This book might be misleading if not understood properly before converting your earning income into passive income.",good quality book unused posting honest review perspective particular book alone read everyone need know manage asset column make eye open unusual quotings actually meaningful make think may maynot take step immediately finishing book guy definitely think starting something grow asset column go ahead buy book warning book might misleading understood properly converting earning income passive income
"'Rich dad Poor dad' book will educate you about an essential intelligence needed for life,But in which we're lacking at present.It has thrashed all the financial dogma that are being followed in our society!

Who needs this book:
1.Are you struggling to manage and pay your expenses?
2.Are you angry with your Boss for your Current salary and workload?
3.Are you struggling with your debts and want to know what mistakes you have committed?
4.Are you looking for the reason ""How some people (who are not worth) are in the top where as intelligent people are dying as a employee""?
5.Are you seeking for the secret ""How the rich are getting richer""?
6.Are you searching for ""What Knowledge Rich has and you don't have""?
7.Do you want to learn the habits of Rich which makes them richer?
8.Do you want to find which obstacles are stopping you to be rich, Though you've topped in your studies?
9.Do you search for the things which can make you rich when you follow?

If you want the answer for atleast anyone of these questions,then Blindly go for this book and I assure you that You won't regret for the time which you've spent on this book.Also This book will be one of your biggest investment in your life!

What should you know to read this book?
No Pre-requisite needed for this book,Since it is a basic self-finance book.Though I suggest you to learn the basics about stock market,Mutual funds and bonds.

No.of Pages:300
Needed Proficiency level: Moderate (for English)
Alternative: Tamil translated version available named ""பணக்கார தந்தை,ஏழை தந்தை""",rich dad poor dad book educate essential intelligence needed lifebut lacking presentit thrashed financial dogma followed society need book 1are struggling manage pay expense 2are angry bos current salary workload 3are struggling debt want know mistake committed 4are looking reason people worth top intelligent people dying employee 5are seeking secret rich getting richer 6are searching knowledge rich dont 7do want learn habit rich make richer 8do want find obstacle stopping rich though youve topped study 9do search thing make rich follow want answer atleast anyone questionsthen blindly go book assure wont regret time youve spent bookalso book one biggest investment life know read book prerequisite needed booksince basic selffinance bookthough suggest learn basic stock marketmutual fund bond noof pages300 needed proficiency level moderate english alternative tamil translated version available named பணககர தநதஏழ தநத
"A must-read for understanding the difference between earning money and growing wealth. It changed how I view assets, liabilities, and financial freedom. Simple, practical, and powerful.",mustread understanding difference earning money growing wealth changed view asset liability financial freedom simple practical powerful
This amazing book ...... I read this book from a week & i love this book.. I can read easily .... Well I'm begginer for reading that's why 1 st time i was like i should buy or not but I'll definitely recommend this book .... Every person should read this book .... Mostly in every topic 1 point is imp that school not teach us that how to make money .... How u see money your perspective will change after learn from this book .....Financially this book is amaze,amazing book read book week love book read easily well im begginer reading thats 1 st time like buy ill definitely recommend book every person read book mostly every topic 1 point imp school teach u make money u see money perspective change learn book financially book amaze
Too small and quality seems not good as th book small we can not properly read the page comfortably if want to read comfortably then the pages will be teared,small quality seems good th book small properly read page comfortably want read comfortably page teared
Good print and the paper quality could have been better,good print paper quality could better
"The book is written in a conversational style, with Kiyosaki sharing stories from his own life and the lives of his two fathers. He argues that the traditional view of money, which is to work hard and save for retirement, is a recipe for financial disaster. Instead, he advocates for a more active approach to money, where people learn to invest and build wealth through assets.

Pros:

Easy to read and understand
Entertaining and engaging
Provides valuable insights into personal finance
Can help people to change their relationship with money
Cons:

Simplistic views of money
Lack of academic rigor
Some of the advice is outdated
Can be seen as self-serving",book written conversational style kiyosaki sharing story life life two father argues traditional view money work hard save retirement recipe financial disaster instead advocate active approach money people learn invest build wealth asset pro easy read understand entertaining engaging provides valuable insight personal finance help people change relationship money con simplistic view money lack academic rigor advice outdated seen selfserving
This book is useful for financial success and good mindset this is good book to become rich.This book tells us about good financial freedom and the delivery is good,book useful financial success good mindset good book become richthis book tell u good financial freedom delivery good
You will have lot more knowledge about money after reading it and i can assure that you will not regret buying it !!,lot knowledge money reading assure regret buying
"This book actually puts into your brain the importance of financial literacy.
We crib saying if not now then when?
It basically talks about the mindset.
In simple words I will tell you the impact the book has created on me :-
Before reading this book I wanted to buy a luxury car on loan from my salary, after and in fact by the time I had half read the book I have started buying assets and cash flow that support my pay for the car..",book actually put brain importance financial literacy crib saying basically talk mindset simple word tell impact book created reading book wanted buy luxury car loan salary fact time half read book started buying asset cash flow support pay car
"One of the best book to develop and improve your financial skills.
Robert T. Kiyosaki writes about the knowledge gained by his rich dad on financial literacy which helped him to get out of the vicious cycle of working for money and become financially independent, how to make money work from you instead of working for money.",one best book develop improve financial skill robert kiyosaki writes knowledge gained rich dad financial literacy helped get vicious cycle working money become financially independent make money work instead working money
Very nice and informative book with good quality👌🏼❤️,nice informative book good quality
Author is saying same thing again n agin only few chapters worth reading for newbies . More based on usa finance would recommend buying it second hand not first hand . For young generation a good read though better than fiction or romance novels,author saying thing n agin chapter worth reading newbie based usa finance would recommend buying second hand first hand young generation good read though better fiction romance novel
"Just finished ""Rich Dad Poor Dad"" and it's worth it!
The author repeats some points a lot, which gets a bit annoying, but overall, it's a great read. The book talks about investing more, especially in real estate, and avoiding the usual job grind. It's all about thinking differently. Definitely recommend it, especially for those just starting out. It could change how you see things.",finished rich dad poor dad worth author repeat point lot get bit annoying overall great read book talk investing especially real estate avoiding usual job grind thinking differently definitely recommend especially starting could change see thing
I don't know about this i buy for my son i don't think thay read or not offcource not,dont know buy son dont think thay read offcource
"The product was in good condition the packaging was good, the book is really nice, written in easy language",product good condition packaging good book really nice written easy language
OSM,osm
"I had no expectations of this, as this was only my second book on Kindle. But I am glad to chose to read this.

How conveniently Rich Dad teaches the kids to prepare themselves, to educate in financial studies and understand the game.

He shines light on how it's the most important thing to always keep learning and adapting, in this rapid world of change.

I personally am intrigued, and am considering reading more such books. Perhaps the ones by Kiyosaki himself.

Good read, especially for teenagers/young adults just stepping into the real world. Spend your time and money wisely :)",expectation second book kindle glad chose read conveniently rich dad teach kid prepare educate financial study understand game shine light important thing always keep learning adapting rapid world change personally intrigued considering reading book perhaps one kiyosaki good read especially teenagersyoung adult stepping real world spend time money wisely
"It’s really awesome book, everyone must read this and apply in their life.
Thanks to Robert T Kiosaki sir🙇🏻",really awesome book everyone must read apply life thanks robert kiosaki sir
Very very very very very Good,good
"One of the best books I’ve ever read! It’s perfect for those struggling financially, providing valuable insights and practical steps to achieve financial stability and success. Highly recommended for everyone!",one best book ive ever read perfect struggling financially providing valuable insight practical step achieve financial stability success highly recommended everyone
It is a best book I have ever read it says the rich people and poor people mindset in different perspectives it will give more interest to learn financial education,best book ever read say rich people poor people mindset different perspective give interest learn financial education
If you want to change your life this book for you,want change life book
Book lovers don't need a review on the content but on the quality of material and delievery experience which in my case was too good.,book lover dont need review content quality material delievery experience case good
Good book,good book
Everyone must read book,everyone must read book
"This book is must to read for those who are actually in search for ways on how to convert earned income to portfolio and passive income and to understand money management, money psychology. Highly interesting book about financial literacy.

I would highly recommend to those who want to create wealth from there early age and want to retire early.",book must read actually search way convert earned income portfolio passive income understand money management money psychology highly interesting book financial literacy would highly recommend want create wealth early age want retire early
"A best financial guide I've never read before.
Paper quality was amazing",best financial guide ive never read paper quality amazing
"Purchased the book in republic day sale,
Received in perfect shape, not yet read the book but listened to the podcast it was awesome but no alternative can replace books, hence bought the book.
Overall Good investment..",purchased book republic day sale received perfect shape yet read book listened podcast awesome alternative replace book hence bought book overall good investment
"Seems like a copy, not original, has many faded pages which are not possible to read. Very dissapointing",seems like copy original many faded page possible read dissapointing
Good,good
Helpful,helpful
Every person is reqd to read this book,every person reqd read book
Good book knowledge very well give me,good book knowledge well give
I can say only that this book is your real friend and Sugar Mama. It will guide you in your life and atleast make you independent if you read it and apply it in your life practically.I strongly recommend it for middle class society.,say book real friend sugar mama guide life atleast make independent read apply life practicallyi strongly recommend middle class society
"This book is Must read to everyone, because we all are lived in Money world. Finding where is the True Power that Control all of our lives.",book must read everyone lived money world finding true power control life
It's a nice and light read for motivational and life-reforming purposes. The author of the book explains the concepts by providing illustrations and experiences from his own life.,nice light read motivational lifereforming purpose author book explains concept providing illustration experience life
"It's amazing that we can buy informative book such as this at very cheap price.
I read few chapter and began to understand fake rich and real rich guy .
You began to understand why the rich are becoming rich and poor more poor.
I highly recommend this book",amazing buy informative book cheap price read chapter began understand fake rich real rich guy began understand rich becoming rich poor poor highly recommend book
"I would not talk about how the book is, because it's one of the best out there. But I will talk about the quality of the book. Bad. Very bad. A few pages are faded and hard to read. I am attaching the image for reference. If quality matters then better to purchase it from store but if it does not then purchase it from streetside for better pricing.",would talk book one best talk quality book bad bad page faded hard read attaching image reference quality matter better purchase store purchase streetside better pricing
"Throughout my entire life, I've focused so much on improving my technical knowledge and being a better person at what I do professionally. Ultimately, I was never able to manage my money properly and lacked essential financial skills.

This book has instilled in me a different perspective on looking at the world. It made me understand how the thing that every human being on this planet desires for works -- 'Money'.",throughout entire life ive focused much improving technical knowledge better person professionally ultimately never able manage money properly lacked essential financial skill book instilled different perspective looking world made understand thing every human planet desire work money
Book is good and compact in size but when it comes to page quality it looks like cheaper page type book. It will be a worth buying if they just decrease their pricing a little more.,book good compact size come page quality look like cheaper page type book worth buying decrease pricing little
Good 👍,good
Good book,good book
very good,good
"This book tells us that the rich don't work for money. Instead they make money work for them. This is the Central theme of the book. I am now aware of the difference between asset and liability. I am now investing in asstes.
Such a wonderful book. Good read.",book tell u rich dont work money instead make money work central theme book aware difference asset liability investing asstes wonderful book good read
I was going through lot's of Up's n Down's earlier in my Life.One day somewhere on the internet I've read about this book.the title was not so attractive but still i'd searched the books summery on YouTube and then I've found a video in which whatever the guy was saying made sense to me then i thought that i should read it and when I read this book suddenly i observed that in my life whatever I'm doing is totally wrong whatever the goals i had was totally wrong but now after reading this book my vision is clearer than ever i came to know that life is only about freedom no money lust.,going lot ups n down earlier lifeone day somewhere internet ive read bookthe title attractive still id searched book summery youtube ive found video whatever guy saying made sense thought read read book suddenly observed life whatever im totally wrong whatever goal totally wrong reading book vision clearer ever came know life freedom money lust
